ticker,timestamp,rvol_15m,momentum_1h,rsi_14,decayed_sentiment,rag_historical_win_rate,sector_beta,excess_momentum,target_class,cat_EARNINGS,cat_FDA_APPROVAL,cat_CONTRACT_WIN,cat_MANAGEMENT_CHANGE,cat_OFFERING_DILUTION,cat_RUMOR,cat_OTHER
BB,2026-07-13 12:15:00-04:00,0.665232583004783,-0.022374419162252357,49.426315927566826,-0.09163544085917286,0.7342270643638176,1.739057807088343,-0.01629174002750171,0,0,1,0,0,0,0,0
BBY,2026-07-13 12:15:00-04:00,0.9050332699062661,-0.0065972420399307286,33.05508019302877,-0.9840161768994844,0.5960521069112299,0.43935161398883327,-0.005060527800567242,0,0,0,0,1,0,0,0
SOFI,2026-07-13 12:15:00-04:00,1.1151260865438595,-0.009174377550324353,17.564672283502063,0.4861115623672787,0.47705727531705433,1.4335418243536442,-0.004160297565031877,0,0,1,0,0,0,0,0
UPST,2026-07-13 12:15:00-04:00,0.7876807292328526,-0.015289268550207957,16.616608283259325,-0.37761941227324414,0.40726001642863185,2.252788137880165,-0.007409721737304725,0,0,0,0,1,0,0,0
MARA,2026-07-13 12:15:00-04:00,0.5741298631714102,-0.02068127461628333,19.371284026359604,-0.282128320858958,0.6119667696835164,2.8668261781805215,-0.01065401519690179,0,0,0,0,0,1,0,0
PTON,2026-07-13 12:15:00-04:00,0.545260838946171,-0.021035540649635864,40.28812997870303,0.23621199773964086,0.5697817964981149,1.0715504237411495,-0.017287593124397333,0,0,1,0,0,0,0,0
AFRM,2026-07-13 12:15:00-04:00,0.469576519717692,0.0015179113821026657,45.03446427358138,0.12954953570637762,0.6663047532599762,2.0522024123265,0.0086958721967826,0,0,0,0,0,0,0,1
RIVN,2026-07-13 12:15:00-04:00,0.47834902464543627,-0.0028909648360788687,35.61663644931548,-0.24096769683043462,0.383983495298767,1.822067008178784,0.0034820544664379742,0,0,0,0,0,1,0,0
AMC,2026-07-13 12:15:00-04:00,0.611949656197255,-0.022666676839192657,31.6314684522511,0.06638500336452724,0.5570250696678212,1.5816693039335197,-0.017134493358058226,0,1,0,0,0,0,0,0
SNAP,2026-07-13 12:15:00-04:00,0.7916594869953435,-0.0009904546142462944,57.2239320723389,-0.9948039979905416,0.5269072508465976,1.041048571393518,0.002650806991703093,0,0,0,0,0,0,0,1
DKNG,2026-07-13 12:15:00-04:00,0.9618685104540043,-0.0018385452333747887,43.824397857416116,0.9418897967368087,0.4424331112827113,0.09331002531702351,-0.0015121760110605583,0,0,1,0,0,0,0,0
SIRI,2026-07-13 12:15:00-04:00,1.10133767671384,0.0036918065016524615,74.25079040977629,-0.3332764525492835,0.7602909018683428,0.3055926595361118,0.004760673842529094,0,0,0,1,0,0,0,0
SNDL,2026-07-13 12:15:00-04:00,0.12044101974025484,0.003787875024959364,58.725357128057595,-0.8419240852555947,0.5755028303581934,-0.1015923973300075,0.0034325366612949857,0,0,1,0,0,0,0,0
NIO,2026-07-13 12:15:00-04:00,0.9496595521779295,-0.003215396256486147,44.11246547870644,0.14946994618477683,0.551962564066725,0.6051034573948112,-0.0010989340206371237,0,0,0,1,0,0,0,0
NOK,2026-07-13 12:15:00-04:00,0.36787831926588405,-0.018333355585734012,38.55815910662897,-0.9391844063775538,0.3936602654716668,2.5615877381723067,-0.009373724558343864,0,0,0,1,0,0,0,0
CLOV,2026-07-13 12:15:00-04:00,1.0945491290318876,0.0033185545462151023,69.97074059919794,0.42444113795963356,0.36183950567848744,0.9180954094783167,0.006529764529104658,0,0,0,0,0,0,0,1
LI,2026-07-13 12:15:00-04:00,0.7180353453397533,-0.007780529625880828,4.636088036446068,-0.1390230059267552,0.3897252371105375,0.4085409671345793,-0.006351581372204912,0,0,0,0,1,0,0,0
CVNA,2026-07-13 12:15:00-04:00,0.6549447190190246,-0.0060994436521880635,22.08076668150092,0.8219673499977145,0.6407616148344453,0.9903479173662751,-0.002635517042874619,0,0,0,0,1,0,0,0
